sku_id,product_name,category,sub_category,brand,product_type,size_label,launch_date,shelf_life_months,parent_sku,default_price,primary_supplier_id,is_active,country_of_origin,online_only,avg_rating,rating_count,is_discontinued
SKU9310518635,Garnier Sunscreen 50ml,Beauty,Skincare & Cosmetics,Garnier,Sunscreen,50ml,4/22/2019,18,SKU5304202933,17.74,200139,TRUE,UK,FALSE,3.93,73,FALSE
SKU6955836996,Adidas Running Shoes Standard,Sports & Lifestyle,Sports Gear,Adidas,Running Shoes,Standard,8/13/2016,,,44.64,200856,TRUE,CN,FALSE,3.26,485,FALSE
SKU6171745695,Puma Gym Towel Standard,Sports & Lifestyle,Sports Gear,Puma,Gym Towel,Standard,1/26/2017,,,63.71,200983,TRUE,JP,FALSE,3.44,329,FALSE
SKU9112068923,Samsung Power Bank 10000mAh,Electronics Accessories,Gadgets,Samsung,Power Bank,10000mAh,4/21/2019,,,49.1,200439,TRUE,AU,FALSE,4.33,183,FALSE
SKU4171552432,Sony USB Charger 33W,Electronics Accessories,Gadgets,Sony,USB Charger,33W,4/24/2016,,SKU1416947255,41.2,200991,TRUE,US,FALSE,4.48,56,FALSE
SKU0908706868,H&M Home Bath Towel Standard,Home & Living,Home Essentials,H&M Home,Bath Towel,Standard,4/5/2019,,,22.19,200914,TRUE,US,TRUE,4.11,137,FALSE
SKU4352719472,Samsung Wireless Earbuds Standard,Electronics Accessories,Gadgets,Samsung,Wireless Earbuds,Standard,11/6/2016,,,43.11,200914,TRUE,FR,FALSE,3.61,36,FALSE
SKU2767416311,Xiaomi Wireless Earbuds Standard,Electronics Accessories,Gadgets,Xiaomi,Wireless Earbuds,Standard,9/9/2021,,,77.62,200601,TRUE,US,FALSE,3.36,569,FALSE
SKU1691039685,L'Oreal Facial Cleanser 100ml,Beauty,Skincare & Cosmetics,L'Oreal,Facial Cleanser,100ml,2/10/2019,24,,18.85,200439,TRUE,ID,FALSE,4.43,459,FALSE
SKU3856506982,Anker Wireless Earbuds Standard,Electronics Accessories,Gadgets,Anker,Wireless Earbuds,Standard,2/28/2022,,,40.42,200924,TRUE,FR,FALSE,4.47,214,FALSE
SKU7213167310,Milo Breakfast Cereal 500g,Food & Beverage,Groceries,Milo,Breakfast Cereal,500g,9/25/2016,36,SKU6697464014,4.4,200914,TRUE,MY,TRUE,4.3,43,FALSE
SKU2382683178,H&M Home Bath Towel Standard,Home & Living,Home Essentials,H&M Home,Bath Towel,Standard,6/27/2015,,,47.2,200914,TRUE,CN,TRUE,3.56,227,FALSE
SKU0854478449,Persil Laundry Detergent 1.5kg,Home Care,Cleaning Supplies,Persil,Laundry Detergent,1.5kg,12/16/2015,,SKU3543128798,7.9,200991,TRUE,TH,FALSE,4.55,446,FALSE
SKU7140396225,Garnier Moisturizer 50ml,Beauty,Skincare & Cosmetics,Garnier,Moisturizer,50ml,3/9/2022,36,,30.38,200983,TRUE,DE,TRUE,3.43,703,FALSE
SKU4471900304,Philips Bluetooth Speaker Standard,Electronics Accessories,Gadgets,Philips,Bluetooth Speaker,Standard,7/22/2018,,,61.79,200914,TRUE,FR,TRUE,3.4,88,FALSE
SKU5748392854,Oreo Chocolate Snack 100g,Food & Beverage,Groceries,Oreo,Chocolate Snack,100g,4/8/2015,,,7.67,200782,TRUE,JP,FALSE,4.12,235,FALSE
SKU5468002294,Lifebuoy Deodorant 50ml,Personal Care,Toiletries & Bath,Lifebuoy,Deodorant,50ml,1/3/2017,,,5.71,200160,TRUE,VN,TRUE,3.36,234,FALSE
SKU3750227445,Pantene Shampoo 300ml,Personal Care,Toiletries & Bath,Pantene,Shampoo,300ml,4/9/2022,24,,5.89,200090,TRUE,VN,FALSE,4.19,408,FALSE
SKU2614716610,H&M Home Storage Box Small,Home & Living,Home Essentials,H&M Home,Storage Box,Small,7/7/2021,,SKU9112068923,29.3,200439,TRUE,TH,FALSE,3.34,24,FALSE
SKU9602280382,Pantene Toothpaste 150g,Personal Care,Toiletries & Bath,Pantene,Toothpaste,150g,8/28/2020,,,7.98,200991,TRUE,FR,FALSE,3.87,449,FALSE
SKU9268292227,Nike Running Shoes Standard,Sports & Lifestyle,Sports Gear,Nike,Running Shoes,Standard,2/8/2019,,,60.44,200439,TRUE,VN,FALSE,4.17,275,FALSE
SKU0409524346,Persil Air Freshener 300ml,Home Care,Cleaning Supplies,Persil,Air Freshener,300ml,5/15/2016,,,7.78,200384,TRUE,VN,FALSE,3.97,202,FALSE
SKU5966165534,La Roche-Posay Facial Cleanser 100ml,Beauty,Skincare & Cosmetics,La Roche-Posay,Facial Cleanser,100ml,11/18/2014,,SKU0829864965,16.32,200231,TRUE,TH,FALSE,3.25,70,FALSE
SKU4250546449,Garnier Moisturizer 50ml,Beauty,Skincare & Cosmetics,Garnier,Moisturizer,50ml,8/7/2021,24,,20.06,200099,TRUE,MY,FALSE,3.87,358,FALSE
SKU5257232418,Comfort Air Freshener 300ml,Home Care,Cleaning Supplies,Comfort,Air Freshener,300ml,8/10/2018,,,5.23,200485,TRUE,KR,FALSE,3.67,51,FALSE
SKU2377703159,Adidas Yoga Mat 4mm,Sports & Lifestyle,Sports Gear,Adidas,Yoga Mat,4mm,4/2/2018,,,104.07,200769,TRUE,DE,FALSE,4.23,207,FALSE
SKU8185788985,Puma Running Shoes Standard,Sports & Lifestyle,Sports Gear,Puma,Running Shoes,Standard,10/16/2014,,,106.01,200983,TRUE,US,FALSE,3.33,32,FALSE
SKU3543128798,L'Oreal Moisturizer 50ml,Beauty,Skincare & Cosmetics,L'Oreal,Moisturizer,50ml,2/20/2016,,,25.56,200991,TRUE,FR,FALSE,3.81,454,FALSE
SKU6453037202,La Roche-Posay Moisturizer 50ml,Beauty,Skincare & Cosmetics,La Roche-Posay,Moisturizer,50ml,10/20/2017,,SKU6392899805,12.26,200232,TRUE,DE,FALSE,4.64,281,TRUE
SKU6941397148,Colgate Toothpaste 150g,Personal Care,Toiletries & Bath,Colgate,Toothpaste,150g,4/22/2018,18,,9.09,200112,TRUE,VN,FALSE,4.15,181,FALSE
SKU8112255921,Milo Chocolate Snack 100g,Food & Beverage,Groceries,Milo,Chocolate Snack,100g,6/25/2021,,SKU5712990157,3.87,200439,TRUE,MY,FALSE,3.34,153,FALSE
SKU8528433028,Samsung Wireless Earbuds Standard,Electronics Accessories,Gadgets,Samsung,Wireless Earbuds,Standard,5/5/2022,,SKU3644753717,87.92,200271,TRUE,JP,FALSE,3.54,271,FALSE
SKU5230183443,Pantene Conditioner 500ml,Personal Care,Toiletries & Bath,Pantene,Conditioner,500ml,8/27/2016,36,,10.32,200991,TRUE,UK,FALSE,4,111,FALSE
SKU6729730365,Oreo Instant Coffee 200g,Food & Beverage,Groceries,Oreo,Instant Coffee,200g,3/9/2015,,,4.18,200828,TRUE,TH,FALSE,4.74,81,FALSE
SKU8231364505,Puma Gym Towel Standard,Sports & Lifestyle,Sports Gear,Puma,Gym Towel,Standard,12/11/2017,,,105.32,200889,TRUE,VN,FALSE,3.44,321,FALSE
SKU7046448675,Decathlon Water Bottle 1L,Sports & Lifestyle,Sports Gear,Decathlon,Water Bottle,1L,2/21/2014,,,116.67,200090,TRUE,KR,FALSE,4.29,241,FALSE
