supplier_id,supplier_name,region,default_shipping_mode,status,lead_time_category,min_order_qty,contract_start_date
200856,Unilever Global Markets,UK,Sea,active,long,400,1/24/2011
200345,Procter & Gamble EMEA,DE,Sea,active,long,400,4/8/2014
200983,Nestle Consumer Products,MY,Land,active,short,100,12/4/2012
200099,Samsung Electronics,KR,Sea,active,long,400,2/19/2018
200271,LG Electronics,KR,Sea,active,long,400,1/1/2016
200160,Philips Domestic Appliances,NL,Sea,active,long,400,4/8/2011
200924,Sony Lifestyle Products,JP,Sea,active,medium,200,10/1/2018
200485,IKEA Home Furnishings,SE,Sea,active,long,400,4/23/2018
200139,L'Oreal Beauty Distribution,FR,Air,active,long,400,7/8/2018
200889,Johnson & Johnson Consumer,US,Air,active,long,400,10/9/2017
200384,Reckitt Benckiser Hygiene,UK,Sea,active,long,400,3/23/2010
200991,Nike Retail Partners,US,Air,active,long,400,6/9/2016
200769,Adidas Global Sourcing,DE,Air,active,long,400,4/25/2012
200232,Colgate-Palmolive Personal Care,US,Sea,active,long,400,2/3/2015
200439,PepsiCo Snacks International,US,Sea,active,long,400,2/12/2016
200899,Mondelez Grocery APAC,AU,Sea,active,long,400,10/9/2015
200009,Shiseido Consumer Products,JP,Air,active,medium,200,12/15/2010
200231,Kao Home & Personal Care,JP,Sea,active,medium,200,2/13/2018
200601,Kimberly-Clark Hygiene,US,Sea,active,long,400,9/10/2011
200778,Danone Beverages SEA,FR,Sea,active,long,400,6/19/2019
200112,Decathlon Sports Gear,FR,Sea,active,long,400,12/3/2013
200828,H&M Home Textiles,SE,Sea,active,long,400,11/8/2010
200914,Xiaomi Smart Devices,CN,Rail,active,medium,200,2/28/2014
200090,Anker Innovations Electronics,CN,Sea,active,medium,200,2/13/2013
200782,Puma Sportswear Distribution,DE,Air,active,long,400,8/21/2014
